ECMWF,short_name,long_name,units,typeOfLevel
,cape,surface Convective available potential energy,[J kg**-1],surface
,cp,surface Convective precipitation,[mm/3h],surface
,d2m,surface 2 metre dewpoint temperature,[K],surface
,gh,(profile) Height,[gpm],isobaricInhPa
,hcc,surface High cloud cover,[(0 - 1)],surface
,lcc,surface Low cloud cover,[(0 - 1)],surface
,mcc,surface Medium cloud cover,[(0 - 1)],surface
,msl,surface Mean sea level pressure,[Pa],surface
,pt2PVU,Potential temperature,[K],potentialVorticity
,q,(profile) Specific humidity,[g kg**-1],isobaricInhPa
,skt,surface Skin temperature,[K],surface
,sp,surface Surface pressure,[Pa],surface
,t,(profile) Temperature,[K],surface
,t2m,surface 2 metre temperature,[K],surface
,tcc,surface Total cloud cover,[(0 - 1)],surface
,tcw,surface Total column water,[kg m**-2],surface
,tp,surface Total precipitation,[mm/3h],surface
,u,(profile) U velocity,[m s**-1],isobaricInhPa
,u2PVU,(profile) U velocity,[m s**-1],potentialVorticity
,u10,surface 10 metre U wind component,[m s**-1],surface
,v,(profile) V velocity,[m s**-1],isobaricInhPa
,v2PVU,(profile) V velocity,[m s**-1],potentialVorticity
,v10,surface 10 metre V wind component,[m s**-1],surface
,w,(profile) Vertical velocity,[Pa s**-1],isobaricInhPa
,ws,(profile) wind speed,[m s**-1],isobaricInhPa
,ws10,surface 10 metre wind speed,[m s**-1],surface
,dir,(profile) wind direction,[degree from],isobaricInhPa
,dir10,surface 10 metre wind direction,[degree from],surface
,rh,(profile) relative humidity,[%],isobaricInhPa
,theta,(profile) potential temperature,[K],isobaricInhPa
,Tv,(profile) virtual temperature,[K],isobaricInhPa
,cosh,coseno dell’ora,[],-
,sinh,seno dell’ora,[],-
,cosm,coseno del mese,[],-
,sinm,seno del mese,[],-
,,,,
BOLAM,short_name,long_name,units,typeOfLevel
,capecon,surface Convective Available Potential Energy,[J kg**-1],surface
,clct,surface Total Cloud Cover,[(0 - 1)],surface
,gh,Geopotential Height,[gpm],isobaricInhPa
,hcc,surface High cloud cover,[(0 - 1)],surface
,lapr,surface Lapse Rate,[K/m],surface
,lcc,surface Low Cloud Cover,[(0 - 1)],surface
,mcc,surface Medium cloud cover,[(0 - 1)],surface
,pmsl,surface Pressure Reduced to MSL,[Pa],meanSea
,pv,Ertel Potential Vorticity,[1/s],isobaricInhPa
,cp3,surface Convective Precipitation,[mm/3h],surface
,tp3,surface Total Precipitation,[mm/3h],surface
,qv,Specific Humidity,[g kg**-1],isobaricInhPa
,r2,2 m above ground Relative Humidity,[%],heightAboveGround
,t,Temperature,[K],isobaricInhPa
,t2m,2 m above ground Temperature,[K],heightAboveGround
,u,U-Component of Wind,[m/s],isobaricInhPa
,v,V-Component of Wind,[m/s],isobaricInhPa
,u10,10 m above ground U-Component of Wind,[m/s],heightAboveGround
,v10,10 m above ground V-Component of Wind,[m/s],heightAboveGround
,w,Vertical Velocity (Pressure),[Pa/s],isobaricInhPa
,ws,(profile) wind speed,[m s**-1],isobaricInhPa
,ws10,surface 10 metre wind speed,[m s**-1],heightAboveGround
,dir,(profile) wind direction,[degree from],isobaricInhPa
,dir10,surface 10 metre wind direction,[degree from],heightAboveGround
,rh,(profile) relative humidity,[%],isobaricInhPa
,theta,(profile) potential temperature,[K],isobaricInhPa
,Tv,(profile) virtual temperature,[K],isobaricInhPa
,cosh,coseno dell’ora,[],-
,sinh,seno dell’ora,[],-
,cosm,coseno del mese,[],-
,sinm,seno del mese,[],-
,,,,
MOLOCH,short_name,long_name,units,typeOfLevel
,u10,10 m above ground U-Component of Wind,[m/s],heightAboveGround
,v10,10 m above ground V-Component of Wind,[m/s],heightAboveGround
,t2m,2 m above ground Temperature,[K],heightAboveGround
,r2,2 m above ground Relative Humidity,[%],heightAboveGround
,t,Temperature,[K],isobaricInhPa
,u,U-Component of Wind,[m/s],isobaricInhPa
,v,V-Component of Wind,[m/s],isobaricInhPa
,gh,Geopotential Height,[gpm],isobaricInhPa
,qv,Specific Humidity,[g kg**-1],isobaricInhPa
,pmsl,surface Pressure Reduced to MSL,[Pa],meanSea
,blh,Planetary Boundary Layer Height,[m],surface
,lapr,surface Lapse Rate,[K/m],surface
,lcc,surface Low Cloud Cover,[(0 - 1)],surface
,mcc,surface Medium cloud cover,[(0 - 1)],surface
,hcc,surface High cloud cover,[(0 - 1)],surface
,gust,surface Wind Speed (Gust),[m/s],surface
,clct,surface Total Cloud Cover,[(0 - 1)],surface
,capecon,surface Convective Available Potential Energy,[J kg**-1],surface
,tp3,surface Total Precipitation,[mm/3h],surface
,ws,(profile) wind speed,[m s**-1],isobaricInhPa
,ws10,surface 10 metre wind speed,[m s**-1],heightAboveGround
,dir,(profile) wind direction,[degree from],isobaricInhPa
,dir10,surface 10 metre wind direction,[degree from],heightAboveGround
,rh,(profile) relative humidity,[%],isobaricInhPa
,theta,(profile) potential temperature,[K],isobaricInhPa
,Tv,(profile) virtual temperature,[K],isobaricInhPa
,cosh,coseno dell’ora,[],-
,sinh,seno dell’ora,[],-
,cosm,coseno del mese,[],-
,sinm,seno del mese,[],-
,,,,
MOLOCHsfc,short_name,long_name,units,typeOfLevel
,t2m,2 m above ground Temperature,[K],heightAboveGround
,tp1,surface Total Precipitation,[mm/1h],surface
,u10,10 m above ground U-Component of Wind,[m/s],heightAboveGround
,v10,10 m above ground V-Component of Wind,[m/s],heightAboveGround
